"報告年度:2023","議題:溫室氣體排放"
"=""4420""","光明","22.2868","光明絲織廠股份有限公司龜山廠(桃園市龜山區宏洲街29號)","N/A","9,318.2284","光明絲織廠股份有限公司龜山廠(桃園市龜山區宏洲街29號)","N/A","65,704.3330","光明絲織廠股份有限公司龜山廠(桃園市龜山區宏洲街29號)","N/A","13.5566"
"=""4430""","耀億","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4432""","銘旺實","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4433""","興采","10,928.6530","染一廠、總公司","N/A","267,352.7352","染一廠、總公司","N/A","N/A","N/A","N/A","0.1058"
"=""4442""","竣邦-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4502""","健信","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4503""","金雨","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4506""","崇友","373.8575","母子公司","N/A","1,090.1394","母子公司","N/A","258.5385","母子公司","N/A","0.2779"
"=""4510""","高鋒","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4513""","福裕","259.7000","母公司","N/A","766.3000","母公司","N/A","N/A","N/A","N/A",""
"=""4523""","永彰","48.4979","母公司","N/A","1,134.0540","母公司","N/A","76.5152","母公司","N/A","2.0353"
"=""4527""","方方土霖","N/A","N/A","N/A","0.7980","僅母公司","N/A","N/A","N/A","N/A",""
"=""4528""","江興鍛","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4529""","淳紳","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4530""","宏易","284.1700","僅母公司(就醬子烤吧)","N/A","519.0700","僅母公司(就醬子烤吧)","N/A","N/A","N/A","N/A","6.5000"
"=""4533""","協易機","132.1140","僅母公司。","N/A","955.2146","僅母公司。","N/A","13,813.0240","僅母公司。","N/A","0.7268"
"=""4534""","慶騰","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4535""","至興","814.5120","台灣營運據點","台灣營運據點","4,142.9860","台灣營運據點","台灣營運據點","9,415.9840","台灣營運據點","台灣營運據點","4.0000"
"=""4538""","大詠城","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4541""","晟田","360.9323","本公司(個別公司)","N/A","10,763.9532","本公司(個別公司)","N/A","1,978.7937","本公司(個別公司)","N/A","9.2728"
"=""4542""","科嶠","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4543""","萬在","358.5665","母公司","N/A","3,154.0806","母公司","N/A","N/A","N/A","N/A","4.2017"
"=""4549""","桓達","73.3622","本公司總部、土城廠以及宜蘭廠","母公司","458.2907","本公司總部、土城廠以及宜蘭廠","母公司","1,290.0074","母公司","母公司","0.5711"
"=""4550""","長佳","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4554""","橙的","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4556""","旭然","46.8000","雲科一廠+雲科二廠","N/A","1,034.0946","雲科一廠+雲科二廠","N/A","N/A","N/A","N/A","2.8264"
"=""4558""","寶緯","2,251.5841","本公司所有廠區","N/A","5,210.1355","本公司所有廠區","N/A","N/A","N/A","N/A",""
"=""4561""","健椿","76.2503","彰化縣線西鄉彰濱東七路16號、彰化縣線西鄉線工路3號","N/A","2,291.2708","彰化縣線西鄉彰濱東七路16號、彰化縣線西鄉線工路3號","N/A","N/A","N/A","N/A",""
"=""4563""","百德","124.3100","母公司","N/A","736.6600","母公司","N/A","N/A","N/A","N/A","0.6568"
"=""4568""","科際精密","46.5000","包含合併財務報表之母子公司","N/A","3,187.6600","包含合併財務報表之母子公司","N/A","N/A","N/A","N/A","3.1000"
"=""4577""","達航科技","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4580""","捷流閥業","82.9844","捷流公司土城廠 ","N/A","953.2856","捷流公司土城廠","N/A","N/A","N/A","N/A","0.3971"
"=""4584""","君帆","107.8218","母公司","N/A","408.7380","母公司","N/A","N/A","N/A","N/A","1.4909"
"=""4609""","唐鋒","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4702""","中美實","10.9720","僅母公司","N/A","32.4550","僅母公司","N/A","0.0000","僅母公司","N/A","0.0800"
"=""4706""","大恭","N/A","N/A","N/A","8,350.1350","統計母公司之【自來水】與【電】與【蒸汽】","N/A","N/A","N/A","N/A","9.5400"
"=""4707""","磐亞","418.3551","僅本公司","N/A","9,795.6015","僅本公司","N/A","N/A","N/A","N/A","7.7213"
"=""4711""","永純","N/A","N/A","N/A","804.3328","永純化工個體公司","N/A","N/A","N/A","N/A","1.2373"
"=""4714""","永捷","1,246.4650","包含合併財務報表之母子公司","N/A","1,106.4840","包含合併財務報表之母子公司","N/A","N/A","N/A","N/A","11.5228"
"=""4716""","大立","1,014.1100","大立高分子工業股份有限公司永安廠區","大立高分子工業股份有限公司永安廠區","1,404.3100","大立高分子工業股份有限公司永安廠區","大立高分子工業股份有限公司永安廠區","N/A","N/A","N/A","4.8900"
"=""4721""","美琪瑪","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1,583.0000"
"=""4726""","永昕","220.2377","目前統計範圍為本公司位於竹南GMP一廠及二廠","N/A","3,942.6854","目前統計範圍為本公司位於竹南GMP一廠及二廠","N/A","N/A","N/A","N/A","6.3787"
"=""4728""","雙美","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4729""","熒茂","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4735""","豪展","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2.6800"
"=""4741""","泓瀚","132.6820","合併財務報表之母子公司","合併財務報表之母子公司","1,745.6580","合併財務報表之母子公司","合併財務報表之母子公司","N/A","N/A","N/A","1.5620"
"=""4743""","合一","183.7170","包含合併財務報表之母子公司","包含合併財務報表之母子公司","1,530.0060","包含合併財務報表之母子公司","包含合併財務報表之母子公司","648.7990","範疇三僅包含母公司，類別項目為：「購買產品與服務」、「燃料與能源活動」、「產品上游運輸/配送」、「營運廢棄物」與「商務旅行」等五項。","範疇三僅包含母公司","17.5940"
"=""4744""","皇將","N/A","N/A","N/A","415.3480","僅母公司","N/A","N/A","N/A","N/A",""
"=""4745""","合富-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4747""","強生製藥","239.7000","母公司","N/A","1,101.8020","母公司","N/A","N/A","N/A","N/A",""
"=""4754""","國碳科","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4760""","勤凱科技","6.0829","僅母公司","N/A","655.0000","僅母公司","N/A","N/A","N/A","N/A",""
"=""4767""","誠泰科技","132.6260","高科廠","N/A","385.2950","高科廠","N/A","N/A","N/A","N/A","517.9210"
"=""4768""","晶呈科技","23.1400","上述數據揭露範圍為晶呈科技(母公司)竹南一廠","晶呈科技(母公司)竹南一廠","396.8860","晶呈科技(母公司)竹南一廠","晶呈科技(母公司)竹南一廠","N/A","N/A","N/A","0.0060"
"=""4804""","大略-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4806""","昇華","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4903""","聯光通","102.2229","新竹科學園區新竹市東區研新四路12號","N/A","472.2715","202301~202312","N/A","249.1216","聯合光纖通信股份有限公司(新竹)","N/A",""
"=""4905""","台聯電","2.2800","包含合併財務報表之母子公司","N/A","282.7300","包含合併財務報表之母子公司","N/A","N/A","N/A","N/A","2.4862"
"=""4907""","富宇","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4908""","前鼎","518.0000","本公司新竹廠區(本公司無子公司，僅有新竹廠)","N/A","1,348.0000","本公司新竹廠區(本公司無子公司，僅有新竹廠)","N/A","N/A","N/A","N/A","1.9800"
"=""4909""","新復興","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4911""","德英","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4923""","力士","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4924""","欣厚-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4931""","新盛力","90.0374","僅母公司 高雄總部：高雄市前鎮區西十五街1號(營運包含製造、銷售、管理、研發) 台北辦公室：新北市汐止區新台五路一段99號16樓之12(營運包含銷售、研發)","N/A","1,608.5354","僅母公司 高雄總部：高雄市前鎮區西十五街1號(營運包含製造、銷售、管理、研發) 台北辦公室：新北市汐止區新台五路一段99號16樓之12(營運包含銷售、研發)","N/A","938.4497","僅母公司 高雄總部：高雄市前鎮區西十五街1號(營運包含製造、銷售、管理、研發) 台北辦公室：新北市汐止區新台五路一段99號16樓之12(營運包含銷售、研發)","N/A",""
"=""4933""","友輝","1,270.1735","桃園總公司+竹南分公司","N/A","13,788.2170","桃園總公司+竹南分公司","N/A","N/A","N/A","N/A","6.0275"
"=""4939""","亞電","2,428.7500","中國子公司","中國子公司","6,341.9300","中國子公司","中國子公司","336.6000","中國子公司","中國子公司","5.8800"
"=""4945""","陞達科技","5.0475","僅母公司，單一辦公區域","N/A","63.3900","僅母公司，單一辦公區域","N/A","N/A","N/A","N/A",""
"=""4946""","辣椒","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4951""","精拓科","0.0000","冷媒","N/A","204.0755","外購電力","N/A","79.1758","汽機火車運輸,廢棄物","N/A","0.4995"
"=""4953""","緯軟","60.3653","緯創軟體股份有限公司及其子公司之全球17個據點","與資料邊界一致","663.8505","緯創軟體股份有限公司及其子公司之全球17個據點","與資料邊界一致","3,274.8797","緯創軟體股份有限公司及其子公司之全球17個據點","與資料邊界一致","0.0819"
"=""4966""","譜瑞-KY","119.0000","包含合併財務報表之母子公司","N/A","3,291.0000","包含合併財務報表之母子公司","N/A","N/A","N/A","N/A","0.2480"
"=""4971""","IET-KY","N/A","N/A","N/A","6,738.6600","包含合併財務報表之母子公司","N/A","N/A","N/A","N/A","9.9400"
"=""4972""","湯石照明","230.0730","集團各公司","N/A","1,392.4250","集團各公司","N/A","N/A","N/A","N/A","1.9983"
"=""4973""","廣穎電通","61.8999","母公司所有廠房及租賃辦公室","N/A","881.3089","母公司所有廠房及租賃辦公室","N/A","N/A","N/A","N/A","0.2100"
"=""4974""","亞泰","76.9500","深圳亞泰","N/A","8,983.9000","深圳亞泰","N/A","N/A","N/A","N/A","2.5600"
"=""4979""","華星光","190.0160","母公司","N/A","4,658.0643","母公司","N/A","447.4228","母公司","N/A","1.6398"
"=""4987""","科誠","22.5776","僅母公司","N/A","246.9926","僅母公司","N/A","N/A","N/A","N/A","0.3564"
"=""4991""","環宇-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4995""","晶達","68.1500","位址：邊界範圍說明： 231新北市新店區寶橋路235巷131號 6樓之一；範圍：137~137-4/131~131-4/133~133-3/135~135-3 231新北市新店區寶橋路235巷137號8樓；範圍：137~137-4/131-4 ","N/A","565.0157","僅母公司","N/A","N/A","N/A","N/A","10.8600"
"=""5009""","榮剛","96,005.3555","母公司","母公司","96,784.2120","母公司","母公司","113,230.4355","母公司","母公司","14.2543"
"=""5011""","久陽","350.3841","僅母公司","僅母公司","7,697.5826","僅母公司","僅母公司","7,164.2395","僅母公司","僅母公司","7.4631"
"=""5013""","強新","13,563.2676","僅母公司","僅母公司","16,626.3038","僅母公司","僅母公司","N/A","N/A","N/A","7.1560"
"=""5014""","建錩","292.8899","僅母公司","僅母公司","381.7229","僅母公司","僅母公司","N/A","N/A","N/A","0.4064"
"=""5015""","華祺","259.8770","母公司","母公司","2,378.6638","母公司","母公司","7,531.4604","母公司","母公司","1.8688"
"=""5016""","松和","4,106.9108","母公司","母公司","10,130.8820","母公司","母公司","72,824.2936","母公司","母公司","7.1000"
"=""5201""","凱衛","26.4287","臺北市松山區光復北路11巷29號2樓","N/A","147.5420","臺北市松山區光復北路11巷29號2樓","N/A","N/A","N/A","N/A","0.7664"
"=""5202""","力新","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""5205""","中茂","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""5206""","坤悅","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""5209""","新鼎","10.6004","台北總公司/高雄分公司(橋頭及楠梓兩地辦公室)/康寧專案工地辦公室/康寧EPC工務所 ","僅母公司 ","153.2189","台北總公司/高雄分公司(橋頭及楠梓兩地辦公室)/康寧專案工地辦公室/康寧EPC工務所","僅母公司","1,101.6821","台北總公司/高雄分公司(橋頭及楠梓兩地辦公室)/康寧專案工地辦公室/康寧EPC工務所/新鼎子公司: 新鼎信息/萬鼎工程服務","合併財務報表之母子公司","0.1006"
"=""5210""","寶碩","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""5211""","蒙恬","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""5212""","凌網","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""5213""","亞昕","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""5220""","萬達光電","727.6705","母公司","N/A","6,483.5820","母公司","N/A","5,958.5133","母公司","N/A","9.2709"
"=""5223""","安力-KY","940.4700","母公司及合併財報之昆山新力及重慶巨昊","母公司及合併財報之昆山新力及重慶巨昊","2,874.2400","母公司及合併財報之昆山新力及重慶巨昊","母公司及合併財報之昆山新力及重慶巨昊","N/A","N/A","N/A",""
"=""5227""","立凱-KY","4,543.0900","子公司台灣立凱電能科技股份有限公司","N/A","7,511.1200","子公司台灣立凱電能科技股份有限公司","N/A","N/A","N/A","N/A","13.0879"
"=""5228""","鈺鎧","N/A","N/A","N/A","5,217.1970","本公司","N/A","N/A","N/A","N/A","11.7962"
"=""5230""","雷笛克光學","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""5236""","凌陽創新","9.5979","母公司(本公司尚無子公司)","N/A","198.3806","母公司(本公司尚無子公司)","N/A","N/A","N/A","N/A","0.1260"
"=""5245""","智晶","227.9545","智晶光電股份有限公司之組織邊界範圍內所有範疇一排放源","智晶光電股份有限公司之組織邊界範圍內所有範疇一排放源","10,044.2984","智晶光電股份有限公司之組織邊界範圍內所有範疇二排放源","智晶光電股份有限公司之組織邊界範圍內所有範疇二排放源","3,546.7758","智晶光電股份有限公司之組織邊界範圍內所有範疇三排放源","智晶光電股份有限公司之組織邊界範圍內所有範疇三排放源","15.5971"
"=""5251""","天鉞電","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""5263""","智崴","9.6152","註 1：資料範疇包含智崴高雄總部、製造中心(桃園廠)、台北辦公室。   註 2： 以上揭露之溫室氣體為二氧化碳，汽油與柴油之排放係數參考環境部氣候變遷署事業溫室氣體排放量資訊平台。 註 3：2021年電力排碳係數採經濟部能源署 109 年度電力排碳係數 0.502 公斤 CO2e/度，2022年電力排碳係數採經濟部能源署 110 年度電力排碳係數 0.509 公斤 CO2e/度，2023年電力排碳係數採經濟部能源署 111 年度電力排碳係數 0.495 公斤 CO2e/度。","N/A","801.6129","註 1：資料範疇包含智崴高雄總部、製造中心(桃園廠)、台北辦公室。   註 2： 以上揭露之溫室氣體為二氧化碳，汽油與柴油之排放係數參考環境部氣候變遷署事業溫室氣體排放量資訊平台。 註 3：2021年電力排碳係數採經濟部能源署 109 年度電力排碳係數 0.502 公斤 CO2e/度，2022年電力排碳係數採經濟部能源署 110 年度電力排碳係數 0.509 公斤 CO2e/度，2023年電力排碳係數採經濟部能源署 111 年度電力排碳係數 0.495 公斤 CO2e/度。","N/A","N/A","N/A","N/A","0.9400"
"=""5272""","笙科","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""5274""","信驊","17.6115","新竹總部及台北辦事處","新竹總部及台北辦事處","301.3165","新竹總部及台北辦事處","新竹總部及台北辦事處","4,852.5393","新竹總部及台北辦事處","新竹總部及台北辦事處","604.0727"
"=""5276""","達輝-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""5278""","尚凡","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""5287""","數字","97.1844","僅母公司","N/A","231.6688","母公司","N/A","N/A","N/A","N/A",""
"=""5289""","宜鼎","131.2309","僅母公司","僅母公司","3,262.9266","僅母公司","僅母公司","5,581.3526","僅母公司","僅母公司","1.0796"
"=""5291""","邑昇","76.5440","報導邊界與財務報表一致","N/A","5,027.7150","報導邊界與財務報表一致","N/A","N/A","N/A","N/A","5.4011"
"=""5299""","杰力","78.0380","包含合併財務報表之母子公司","包含合併財務報表之母子公司","162.8030","包含合併財務報表之母子公司","包含合併財務報表之母子公司 ","2,557.1396","包含合併財務報表之母子公司","包含合併財務報表之母子公司 ","0.1390"
"=""5301""","寶得利","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""5302""","太欣","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""5309""","系統電","26.1100","包含母公司及子公司電統能源、鎮江廠及惠州廠","N/A","2,590.1800","包含母公司及子公司電統能源、鎮江廠及惠州廠","N/A","N/A","N/A","N/A","0.7900"
"=""5310""","天剛","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""5312""","寶島科","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""5314""","世紀","6.6390","直接溫室氣體排放","N/A","97.8530","能源間接溫室氣體排放：主要為外購電力。","N/A","N/A","N/A","N/A","0.4000"
"=""5315""","光聯","106.0537","合併財務報表之母子公司","N/A","6,213.6513","合併財務報表之母子公司","N/A","148.5811","母公司","N/A","4.1522"
"=""5321""","美而快","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""5324""","士開","5.5800","母公司營運總部","N/A","45.8800","母公司營運總部","N/A","N/A","N/A","N/A","1.2262"
"=""5328""","華容","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""5340""","建榮","8,926.8314","母公司(楊梅廠)","母公司","17,292.3712","母公司(楊梅廠)","母公司","N/A","N/A","N/A","21.2793"
"=""5344""","立衛","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""5345""","天揚","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""5347""","世界","203,200.2700","合併財務報表之母子公司","合併財務報表之母子公司","545,390.8400","合併財務報表之母子公司","合併財務報表之母子公司","271,586.7600","合併財務報表之母子公司","合併財務報表之母子公司","29.3700"
"=""5348""","正能量智能","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""5351""","鈺創","473.4896","所有廠區","N/A","2,909.9984","所有廠區","N/A","894.4404","所有廠區","N/A","1.6071"
"=""5353""","台林","192.6438","本公司所擁有或控制的排放源，直接溫室氣體排放源主要為冷媒逸散及柴油耗用。","N/A","2,119.4576","本公司間接排放源主要為外購電力所產生的間接溫室氣體排放，包括設備、辦公室、宿舍及公共區域之用電。","N/A","1,819.9022","其他間接排放係非台林自有或可控制的排放源所產生的溫室氣體排放，因無法掌控此類排放源之活動，僅對部分排放源鑑別與量化，包含： - 上游原物料運輸和配送 - 業務或員工出差運輸所產生之排放 - 能資源商品的採購 - 廢棄物處理和運輸","N/A",""
"=""5355""","佳總","273.5580","桃園市桃園區興邦路39之2號、39之4號及41之1號","N/A","7,837.4637","桃園市桃園區興邦路39之2號、39之4號及41之1號","N/A","N/A","N/A","N/A","16.3339"
"=""5356""","協益","938.2900","總公司&觀音廠","N/A","3,246.8600","總公司&觀音廠","N/A","42,154.1100","總公司&觀音廠","N/A","2.7599"
"=""5364""","力麗店","N/A","N/A","N/A","2,409.5353","力麗觀光日潭館、月潭館及花蓮館與子公司力麗明池飯店棲蘭及明池等五個營業場所","N/A","N/A","N/A","N/A",""
"=""5371""","中光電","238.3000","台灣廠區及台灣子公司","台灣廠區及台灣子公司","6,324.3000","台灣廠區及台灣子公司","台灣廠區及台灣子公司","13,508.0000","台灣廠區及台灣子公司","台灣廠區及台灣子公司","0.2400"
"=""5381""","合正","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""5386""","青雲","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""5392""","能率","1.9855","母公司","N/A","10.7221","母公司","N/A","15.9122","母公司","N/A","0.0030"
"=""5398""","慕康生醫","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""5403""","中菲","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""5410""","國眾","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""5425""","台半","4,740.0000","母公司範圍:宜蘭梅洲及利澤二廠 子公司範圍: 陽信長威電子有限公司(山東廠)","母公司範圍:宜蘭梅洲及利澤二廠 子公司範圍: 陽信長威電子有限公司(山東廠)","37,369.0000","母公司範圍:宜蘭梅洲及利澤二廠 子公司範圍: 陽信長威電子有限公司(山東廠)","母公司範圍:宜蘭梅洲及利澤二廠 子公司範圍: 陽信長威電子有限公司(山東廠)","15,765.4314","母公司範圍:利澤廠 子公司範圍: 陽信長威電子有限公司(山東廠)","母公司範圍:利澤廠 子公司範圍: 陽信長威電子有限公司(山東廠)","2.8800"
"=""5426""","振發","216.5400","母公司","N/A","1,597.3200","母公司","N/A","N/A","N/A","N/A",""
"=""5432""","新門","1.7594","新門公司","N/A","67.7997","新門公司","N/A","37.0487","新門公司","N/A","0.4115"
"=""5438""","東友","161.2124","1.桃園市觀音區中山路一段1568-1號2樓 2.台北市內湖區南京東路六段503號12樓","N/A","612.1497","1.桃園市觀音區中山路一段1568-1號2樓 2.台北市內湖區南京東路六段503號12樓","N/A","227.2754","1.桃園市觀音區中山路一段1568-1號2樓 2.台北市內湖區南京東路六段503號12樓","N/A","0.6466"
"=""5439""","高技","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""5443""","均豪","86.8806","僅母公司","僅母公司","1,273.1606","僅母公司","僅母公司","1,022.4048","僅母公司","僅母公司","0.0008"
"=""5450""","南良","3,133.4864","總公司、台南分公司、本廠、蔦松廠、仁愛廠","N/A","3,761.8396","總公司、台南分公司、本廠、蔦松廠、仁愛廠","N/A","N/A","N/A","N/A","4.2784"
"=""5452""","佶優","66.5669","總部土城廠","N/A","132.3818","總部土城廠","N/A","N/A","N/A","N/A","0.2260"
"=""5455""","昇益","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""5457""","宣德","50.9932","桃園市龜山區民生北路一段568號","桃園市龜山區民生北路一段568號","4,861.8230","桃園市龜山區民生北路一段568號","桃園市龜山區民生北路一段568號","7,496.0471","桃園市龜山區民生北路一段568號","桃園市龜山區民生北路一段568號","1.4386"
