"報告年度:2022","議題:溫室氣體排放"
"公司代號","公司名稱","範疇一-排放量(噸CO2e)","範疇一-資料邊界","範疇一-取得驗證","範疇二-排放量(噸CO2e)","範疇二-資料邊界","範疇二-取得驗證","範疇三-排放量(噸CO2e)","範疇三-資料邊界","範疇三-取得驗證","溫室氣體排放密集度-密集度(噸CO2e/單位)","溫室氣體排放密集度-單位"
"=""1294""","漢田生技","","","N/A","N/A","N/A","N/A","","","N/A","",""
"=""2751""","王座","","","N/A","N/A","N/A","N/A","","","N/A","",""
"=""4772""","台特化","","","N/A","N/A","N/A","N/A","","","N/A","",""
"=""4950""","牧東","","","N/A","N/A","N/A","N/A","","","N/A","",""
"=""6739""","竹陞科技","","","N/A","N/A","N/A","N/A","","","N/A","",""
"=""6913""","鴻呈","","","N/A","N/A","N/A","N/A","","","N/A","",""
"=""6967""","汎瑋材料","","","N/A","N/A","N/A","N/A","","","N/A","",""
"=""6968""","萬達寵物","","","N/A","N/A","N/A","N/A","","","N/A","",""
"=""7584""","樂意","","","N/A","N/A","N/A","N/A","","","N/A","",""
"=""7703""","銳澤","","","N/A","N/A","N/A","N/A","","","N/A","",""
"=""7708""","全家餐飲","","","N/A","N/A","N/A","N/A","","","N/A","",""
"=""8272""","全景軟體","","","N/A","N/A","N/A","N/A","","","N/A","",""