"報告年度:2022","議題:董事會"
"公司代號","公司名稱","董事席次(含獨立董事)(席)-董事席次(含獨立董事)(席)","獨立董事席次(席)-獨立董事席次(席)","女性董事席次及比率-席","女性董事席次及比率-比率","董事出席董事會出席率-董事出席董事會出席率","董事進修時數符合進修要點比率-董事進修時數符合進修要點比率"
"=""1294""","漢田生技","","","","","",""
"=""2751""","王座","","","","","",""
"=""4772""","台特化","","","","","",""
"=""4950""","牧東","","","","","",""
"=""6739""","竹陞科技","","","","","",""
"=""6913""","鴻呈","","","","","",""
"=""6967""","汎瑋材料","","","","","",""
"=""6968""","萬達寵物","","","","","",""
"=""7584""","樂意","","","","","",""
"=""7703""","銳澤","","","","","",""
"=""7708""","全家餐飲","","","","","",""
"=""8272""","全景軟體","","","","","",""